Time,Ay      ,AVz     
            0, -4.69826014785e-18,             0
        0.025, -7.20678395534e-17, -4.6397410238e-16
         0.05, -6.48430345999e-19, -1.64555811756e-15
        0.075, 6.6513156304e-17, -2.77374681688e-15
          0.1, -1.93315368245e-17, -1.39074943121e-15
        0.125, -4.51598031196e-17, -1.32623188453e-15
         0.15, -3.5314997254e-17, -1.64193578117e-15
        0.175, 2.67385752505e-17, -3.04038410659e-15
          0.2, 7.0568743438e-17, -3.17662596802e-15
        0.225, -1.11701966993e-16, -3.36108285064e-15
         0.25, 6.66314332055e-18, -2.58744552002e-15
        0.275, -3.67713347492e-17, -8.50019426608e-16
          0.3, -8.93383053349e-17, 7.96364296617e-17
        0.325, -1.54686122975e-16, -3.28034869936e-16
         0.35, -1.01438144517e-16, 7.55997485678e-17
        0.375, -7.06763894142e-17, -1.14006272481e-15
          0.4, -2.35208542482e-17, -1.32014076472e-15
        0.425, -1.04439121037e-17, -1.20362386541e-15
         0.45, 1.41251032304e-17, 8.25661458962e-16
        0.475, -1.08476842725e-16, -3.25868232449e-17
          0.5, -4.45299050831e-17, 7.64662645963e-16
        0.525, -5.92060876182e-17, 1.26806983781e-15
         0.55, -1.34525415341e-16, 5.43806216505e-16
        0.575, -9.98246526313e-17, -6.25235040675e-16
          0.6, -5.13094674575e-17, -1.48376180151e-15
        0.625, -6.40513145998e-17, -1.49434071362e-15
         0.65, 1.31993673566e-16, 8.88269753675e-17
        0.675, 1.92835944288e-16, 2.08964002176e-15
          0.7, -5.81007757965e-17, 1.79355499636e-15
        0.725, -4.29677050132e-17, 9.31506696051e-16
         0.75, 4.70334234553e-17, 1.00036027056e-16
        0.775, 1.4021524005e-16, -1.10234095953e-15
          0.8, 1.67006814417e-18, 2.67446259112e-16
        0.825, -3.99286302078e-17, 2.55354832026e-15
         0.85, 2.57824359396e-18, 1.11093008538e-15
        0.875, -1.86561041497e-17, 2.11605135608e-15
          0.9, -3.18489218902e-17, 4.3757743231e-15
        0.925, 8.64261398878e-17, 3.58910602586e-15
         0.95, 1.48354789922e-16, 4.68182977331e-15
        0.975, 9.83111704045e-07, 1.66204438301e-06
            1, 1.79724975169e-05, 6.7626911914e-05
        1.025, 7.9768775322e-05, 0.00047750439262
         1.05, 0.00021230863058, 0.00175574503373
        1.075, 0.000443681026809, 0.00465663336217
          1.1, 0.00082669861149, 0.0101886065677
        1.125, 0.00143766845576, 0.0198585726321
         1.15, 0.00234433542937, 0.0356565378606
        1.175, 0.0036055133678, 0.0598382018507
          1.2, 0.00531233288348, 0.0949189886451
        1.225, 0.00759845972061, 0.143907949328
         1.25, 0.0105793764815, 0.21029637754
        1.275, 0.0145138744265, 0.298244416714
          1.3, 0.0196460932493, 0.413838088512
        1.325, 0.0259455684572,  0.5626090765
         1.35, 0.0334252491593, 0.748429298401
        1.375, 0.0420332439244,  0.9732888937
          1.4, 0.0519072338939, 1.23779213428
        1.425, 0.0631122589111, 1.54181408882
         1.45, 0.0757036358118, 1.88439965248
        1.475, 0.0897014737129, 2.26380991936
          1.5, 0.10508351028, 2.67747592926
        1.525, 0.121772401035, 3.12170863152
         1.55, 0.139297202229, 3.58999300003
        1.575, 0.157975316048,  4.0758061409
          1.6, 0.177697479725, 4.57484054565
        1.625, 0.198303773999, 5.08118724823
         1.65, 0.219508007169, 5.58798933029
        1.675, 0.24051129818, 6.08594846725
          1.7, 0.261787980795, 6.56544160843
        1.725, 0.282894551754, 7.02001667023
         1.75, 0.303642243147, 7.44614696503
        1.775, 0.323874682188, 7.83755493164
          1.8, 0.342818289995,  8.1880569458
        1.825, 0.360718101263, 8.48939037323
         1.85, 0.377329289913, 8.73812675476
        1.875, 0.392482250929, 8.93626213074
          1.9, 0.406283557415,  9.0788564682
        1.925, 0.418315559626, 9.16406726837
         1.95, 0.428507447243, 9.19124221802
        1.975, 0.436814397573, 9.15912818909
            2, 0.442736417055, 9.06853866577
        2.025, 0.446433901787, 8.92154693604
         2.05, 0.447961986065, 8.71611022949
        2.075, 0.447363704443, 8.45130062103
          2.1, 0.444558233023, 8.12769699097
        2.125, 0.439528286457, 7.74649381638
         2.15, 0.432339757681,  7.3087387085
        2.175,  0.4230697155, 6.81735038757
          2.2, 0.411693781614, 6.27751493454
        2.225, 0.397301137447, 5.69042396545
         2.25, 0.380531162024,  5.0549325943
        2.275, 0.361522376537, 4.37599658966
          2.3, 0.340279400349, 3.66513609886
        2.325, 0.316711306572, 2.92863512039
         2.35, 0.290857315063, 2.16623282433
        2.375, 0.262900531292, 1.38926434517
          2.4, 0.233131825924, 0.609264671803
        2.425, 0.201442360878, -0.161150842905
         2.45, 0.16886754334, -0.913951873779
        2.475, 0.135450482368, -1.63677144051
          2.5, 0.100821986794, -2.32052254677
        2.525, 0.0646732598543, -2.96448278427
         2.55, 0.0276360418648, -3.57376503944
        2.575, -0.00947831664234, -4.14710903168
          2.6, -0.0460254959762, -4.67780637741
        2.625, -0.0819339975715, -5.16195297241
         2.65, -0.117101050913, -5.59678554535
        2.675, -0.150586158037, -5.97993326187
          2.7, -0.182678177953, -6.3107624054
        2.725, -0.213381692767, -6.59214735031
         2.75, -0.242460384965, -6.82972669601
        2.775, -0.268989920616, -7.0307135582
          2.8, -0.293832749128, -7.20002412796
        2.825, -0.317073971033, -7.34451389313
         2.85, -0.33860835433, -7.47346162796
        2.875, -0.358156591654, -7.59493350983
          2.9, -0.375518620014, -7.71737718582
        2.925, -0.391837835312, -7.84601068497
         2.95, -0.407049030066, -7.98582029343
        2.975, -0.421344429255, -8.13889789581
            3, -0.434628248215, -8.31088733673
        3.025, -0.447058737278, -8.50228023529
         3.05, -0.459279358387, -8.71146202087
        3.075, -0.471532166004, -8.94086551666
          3.1, -0.483938544989, -9.1955871582
        3.125, -0.49645331502, -9.47613334656
         3.15, -0.50838804245, -9.7746295929
        3.175, -0.520396351814, -10.0859365463
          3.2, -0.532658994198, -10.4075784683
        3.225, -0.544771194458, -10.7336339951
         3.25, -0.556638538837, -11.0559597015
        3.275, -0.567910850048, -11.3643112183
          3.3, -0.578527033329, -11.6563510895
        3.325, -0.588673949242, -11.930855751
         3.35, -0.598303198814, -12.184088707
        3.375, -0.607456207275, -12.4088249207
          3.4, -0.616163253784, -12.5999698639
        3.425, -0.624039947987, -12.749294281
         3.45, -0.630589306355, -12.8555927277
        3.475, -0.636101782322, -12.9230766296
          3.5, -0.640823185444, -12.9495372772
        3.525, -0.644626379013, -12.9316616058
         3.55, -0.647410035133, -12.8661489487
        3.575, -0.649122953415, -12.7500696182
          3.6, -0.649729788303, -12.5813579559
        3.625, -0.649137079716, -12.3586378098
         3.65, -0.64665722847, -12.0797815323
        3.675, -0.642577648163, -11.742357254
          3.7, -0.637080490589, -11.3432273865
        3.725, -0.63020914793, -10.8815135956
         3.75, -0.619891405106, -10.3460712433
        3.775, -0.607962906361, -9.73006820679
          3.8, -0.595776200294, -9.04852962494
        3.825, -0.582909345627, -8.32296276093
         3.85, -0.566443860531, -7.55814981461
        3.875, -0.545293092728, -6.73047971725
          3.9, -0.521539092064, -5.82360935211
        3.925, -0.493503540754, -4.83836364746
         3.95, -0.464081764221, -3.79051327705
        3.975, -0.431500792503, -2.69863033295
            4, -0.39456024766, -1.57689487934
        4.025, -0.354976087809, -0.449648022652
         4.05, -0.311908125877, 0.671908736229
        4.075, -0.267087608576, 1.76736569405
          4.1, -0.220343694091, 2.82281088829
        4.125, -0.17161346972, 3.80927681923
         4.15, -0.121804378927,  4.7092833519
        4.175, -0.0691990926862, 5.52307415009
          4.2, -0.0160043276846, 6.25666284561
        4.225, 0.0368055850267, 6.90668964386
         4.25, 0.0888013318181, 7.46768856049
        4.275, 0.13914899528, 7.93686962128
          4.3, 0.186861991882, 8.31123447418
        4.325, 0.232108324766, 8.59517002106
         4.35, 0.27298733592, 8.79892349243
        4.375, 0.310393035412, 8.92998504639
          4.4, 0.344010531902, 8.99797058105
        4.425, 0.373197704554,  9.0202331543
         4.45, 0.398394972086,  9.0036945343
        4.475, 0.420138478279, 8.95125293732
          4.5, 0.437353074551, 8.87140464783
        4.525, 0.450254142284, 8.77603626251
         4.55, 0.459365069866, 8.66992664337
        4.575, 0.464961975813, 8.55121231079
          4.6, 0.467673361301, 8.41829299927
        4.625, 0.468170434237, 8.27022266388
         4.65, 0.46718865633, 8.10673618317
        4.675, 0.465398222208, 7.92934608459
