 Keyword	Units	Type	Component	Legend Label
Steer_SW	deg	Angle	Steering	Steering wheel angle	Steering wheel
StrAV_SW	deg/s	Angular rate	Steering	Steering wheel angular rate	Steering wheel
StrC_L1	deg	Angle	Steering	Compliance steer, wheel L1	Wheel L1 compliance steer
StrC_L2	deg	Angle	Steering	Compliance steer, wheel L2	Wheel L2 compliance steer
StrC_R1	deg	Angle	Steering	Compliance steer, wheel R1	Wheel R1 compliance steer
StrC_R2	deg	Angle	Steering	Compliance steer, wheel R2	Wheel R2 compliance steer
StrKp_L1	deg	Angle	Steering	Steer angle about kingpin L1	Kingpin L1 steer angle
StrKp_L2	deg	Angle	Steering	Steer angle about kingpin L2	Kingpin L2 steer angle
StrKp_R1	deg	Angle	Steering	Steer angle about kingpin R1	Kingpin R1 steer angle
StrKp_R2	deg	Angle	Steering	Steer angle about kingpin R2	Kingpin R2 steer angle
StrK_L1	deg	Angle	Steering	Kinematic steer, wheel L1	Wheel L1 kinematic steer
StrK_L2	deg	Angle	Steering	Kinematic steer, wheel L2	Wheel L2 kinematic steer
StrK_R1	deg	Angle	Steering	Kinematic steer, wheel R1	Wheel R1 kinematic steer
StrK_R2	deg	Angle	Steering	Kinematic steer, wheel R2	Wheel R2 kinematic steer
StrR_A2	deg	Angle	Steering	Roll steer, axle 2	Axle 2 roll steer
StrSWr_1	deg	Angle	Steering	SW angle reduced for axle 1	SW angle reduced for axle 1
StrSWr_2	deg	Angle	Steering	SW angle reduced for axle 2	SW angle reduced for axle 2
S_Rd_L1I	m	Road Station	Tires	Road station for tire L1I	Tire L1I
S_Rd_L1O	m	Road Station	Tires	Road station for tire L1O	Tire L1O
S_Rd_L2I	m	Road Station	Tires	Road station for tire L2I	Tire L2I
S_Rd_L2O	m	Road Station	Tires	Road station for tire L2O	Tire L2O
S_Rd_R1I	m	Road Station	Tires	Road station for tire R1I	Tire R1I
S_Rd_R1O	m	Road Station	Tires	Road station for tire R1O	Tire R1O
S_Rd_R2I	m	Road Station	Tires	Road station for tire R2I	Tire R2I
S_Rd_R2O	m	Road Station	Tires	Road station for tire R2O	Tire R2O
TC_Lock	-	Boolean	Powertrain	Torque converter lockup signal	Torque converter lockup clutch
Throttle	-	Dimensionless ratio	Powertrain	Normalized throttle at Pedal	Pedal
Thrtl_SC	-	Dimensionless ratio	Powertrain	Throttle (speed controller)	Pedal (speed controller)
Thr_Eng	-	Dimensionless ratio	Powertrain	Normalized throttle at Engine	Engine
Thr_Intl	-	Dimensionless ratio	Powertrain	Normalized throttle (internal)	Pedal (internal)
T_Event	s	Time	Time	Time since event clock reset	Event
T_Record	s	Time	Time	Recording time in output file	Recording time in file
T_Rtr_L1	C	Temperature	Brakes	Brake rotor L1 temperature	Brake rotor L1
T_Rtr_L2	C	Temperature	Brakes	Brake rotor L2 temperature	Brake rotor L2
T_Rtr_R1	C	Temperature	Brakes	Brake rotor R1 temperature	Brake rotor R1
T_Rtr_R2	C	Temperature	Brakes	Brake rotor R2 temperature	Brake rotor R2
T_Stamp	s	Time	Time	Simulation time stamp	Simulation time stamp
Vair	km/h	Speed	Aerodynamics	Air speed relative to vehicle	Air speed relative to vehicle
Vbk_Tot	mm3	Volume	Brakes	Total brake corner volume	Brake system
VJStL1	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop L1	Jounce stop L1
VJStL2	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop L2	Jounce stop L2
VJStR1	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop R1	Jounce stop R1
VJStR2	mm/s	Compression rate	Suspensions	Comp. rate, jounce stop R2	Jounce stop R2
VRStL1	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop L1	Rebound stop L1
VRStL2	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop L2	Rebound stop L2
VRStR1	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop R1	Rebound stop R1
VRStR2	mm/s	Compression rate	Suspensions	Comp. rate, rebound stop R2	Rebound stop R2
Vwind	km/h	Speed	Aerodynamics	Wind speed	Wind
Vx	km/h	Longitudinal speed	Chassis motion	Longitudinal speed, vehicle	Vehicle total CG
VxCenL1i	km/h	Longitudinal speed	Tires	Vx, center of tire contact L1i	Center of tire contact L1i
VxCenL1o	km/h	Longitudinal speed	Tires	Vx, center of tire contact L1o	Center of tire contact L1o
VxCenL2i	km/h	Longitudinal speed	Tires	Vx, center of tire contact L2i	Center of tire contact L2i
VxCenL2o	km/h	Longitudinal speed	Tires	Vx, center of tire contact L2o	Center of tire contact L2o
VxCenR1i	km/h	Longitudinal speed	Tires	Vx, center of tire contact R1i	Center of tire contact R1i
VxCenR1o	km/h	Longitudinal speed	Tires	Vx, center of tire contact R1o	Center of tire contact R1o
VxCenR2i	km/h	Longitudinal speed	Tires	Vx, center of tire contact R2i	Center of tire contact R2i
VxCenR2o	km/h	Longitudinal speed	Tires	Vx, center of tire contact R2o	Center of tire contact R2o
VxNf_SM	km/h	Speed	Chassis motion	Global X speed, vehicle SM CG	Vehicle SM CG (global X)
VxTarget	km/h	Longitudinal speed	Speed controller	Target speed	Target speed
Vxz_Fwd	km/h	Longitudinal speed	Chassis motion	Longitudinal speed in XZ plane	Vehicle forward in XZ plane
Vx_Err	km/h	Longitudinal speed	Speed controller	Speed controller error	Controller error
Vx_IErr	m	Speed error integral	Speed controller	Integrated speed control error	Integrated speed error
Vx_L1	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel L1	Wheel L1 (equivalent)
Vx_L2	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel L2	Wheel L2 (equivalent)
Vx_R1	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel R1	Wheel R1 (equivalent)
Vx_R2	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel R2	Wheel R2 (equivalent)
Vx_Rd	km/h	Longitudinal speed	Chassis motion	Vehicle long. speed, road ref	Vehicle total CG
Vx_SM	km/h	Longitudinal speed	Chassis motion	Long. speed, vehicle SM CG	Vehicle SM CG
Vx_WC_L1	km/h	Longitudinal speed	Wheels	Vx at wheel center L1	Vx at wheel center L1
Vx_WC_L2	km/h	Longitudinal speed	Wheels	Vx at wheel center L2	Vx at wheel center L2
Vx_WC_R1	km/h	Longitudinal speed	Wheels	Vx at wheel center R1	Vx at wheel center R1
Vx_WC_R2	km/h	Longitudinal speed	Wheels	Vx at wheel center R2	Vx at wheel center R2
Vy	km/h	Lateral speed	Chassis motion	Lateral speed, vehicle	Vehicle total CG
VyNf_SM	km/h	Speed	Chassis motion	Global Y speed, vehicle SM CG	Vehicle SM CG (global Y)
VyTC_L1i	km/h	Lateral speed	Tires	Vy, L1i center of tire contact	Center of tire contact L1i
VyTC_L1o	km/h	Lateral speed	Tires	Vy, L1o center of tire contact	Center of tire contact L1o
VyTC_L2i	km/h	Lateral speed	Tires	Vy, L2i center of tire contact	Center of tire contact L2i
VyTC_L2o	km/h	Lateral speed	Tires	Vy, L2o center of tire contact	Center of tire contact L2o
VyTC_R1i	km/h	Lateral speed	Tires	Vy, R1i center of tire contact	Center of tire contact R1i
VyTC_R1o	km/h	Lateral speed	Tires	Vy, R1o center of tire contact	Center of tire contact R1o
VyTC_R2i	km/h	Lateral speed	Tires	Vy, R2i center of tire contact	Center of tire contact R2i
VyTC_R2o	km/h	Lateral speed	Tires	Vy, R2o center of tire contact	Center of tire contact R2o
Vy_Rack1	mm/s	Speed	Steering	Steering rack disp. rate, axle 1	Axle 1 steering
Vy_Rack2	mm/s	Speed	Steering	Steering rack disp. rate, axle 2	Axle 2 steering
Vy_Rd	km/h	Lateral speed	Chassis motion	Vehicle lat. speed, road ref	Vehicle total CG
Vy_SM	km/h	Lateral speed	Chassis motion	Lateral speed, vehicle SM CG	Vehicle SM CG
Vy_WC_L1	km/h	Lateral speed	Wheels	Vy at wheel center L1	Vy at wheel center L1
Vy_WC_L2	km/h	Lateral speed	Wheels	Vy at wheel center L2	Vy at wheel center L2
Vy_WC_R1	km/h	Lateral speed	Wheels	Vy at wheel center R1	Vy at wheel center R1
Vy_WC_R2	km/h	Lateral speed	Wheels	Vy at wheel center R2	Vy at wheel center R2
Vz	km/h	Vertical speed	Chassis motion	Vertical speed, vehicle	Vehicle total CG
Vz_Rd	km/h	Vertical speed	Chassis motion	Vehicle vert. speed, road ref	Vehicle total CG
Vz_SM	km/h	Vertical speed	Chassis motion	Vertical speed, vehicle SM CG	Vehicle SM CG
Vz_WC_L1	km/h	Vertical speed	Wheels	Vz at wheel center L1	Vz at wheel center L1
Vz_WC_L2	km/h	Vertical speed	Wheels	Vz at wheel center L2	Vz at wheel center L2
Vz_WC_R1	km/h	Vertical speed	Wheels	Vz at wheel center R1	Vz at wheel center R1
Vz_WC_R2	km/h	Vertical speed	Wheels	Vz at wheel center R2	Vz at wheel center R2
v_mod1	-	v_mod1	VS Commands	Audio control (power on)	v_mod1
v_mod2	-	v_mod2	VS Commands	Audio control (power off)	v_mod2
v_mod3	-	v_mod3	VS Commands	Audio control, wind speed, vol	v_mod3
v_mod4	-	v_mod4	VS Commands	Audio control, wind speed, freq	v_mod4
Xcg_SM	m	Global X coordinate	Chassis motion	X coordinate, CG, sprung mass	CG, sprung mass
Xcg_TM	m	Global X coordinate	Chassis motion	X coordinate, inst. CG, unit 1	Instant CG, vehicle
Xctc_L1i	m	Global X coordinate	Tires	X coordinate, tire CTC L1i	Center of tire contact L1i
Xctc_L1o	m	Global X coordinate	Tires	X coordinate, tire CTC L1o	Center of tire contact L1o
Xctc_L2i	m	Global X coordinate	Tires	X coordinate, tire CTC L2i	Center of tire contact L2i
Xctc_L2o	m	Global X coordinate	Tires	X coordinate, tire CTC L2o	Center of tire contact L2o
Xctc_R1i	m	Global X coordinate	Tires	X coordinate, tire CTC R1i	Center of tire contact R1i
Xctc_R1o	m	Global X coordinate	Tires	X coordinate, tire CTC R1o	Center of tire contact R1o
Xctc_R2i	m	Global X coordinate	Tires	X coordinate, tire CTC R2i	Center of tire contact R2i
Xctc_R2o	m	Global X coordinate	Tires	X coordinate, tire CTC R2o	Center of tire contact R2o
Xo	m	Global X coordinate	Chassis motion	X coordinate, vehicle origin	Vehicle
Xrd_Air	m	Global X coordinate	Aerodynamics	X coord. of road aero ref. 1	Road reference frame 1
X_A2	m	Global X coordinate	Axles	X coordinate, axle 2	Axle 2
X_Design	m	Global X coordinate	Driver model path	X coordinate of reference path	Driver reference path
X_L1	m	Global X coordinate	Wheels	X coordinate, wheel center L1	Wheel center L1
X_L2	m	Global X coordinate	Wheels	X coordinate, wheel center L2	Wheel center L2
X_R1	m	Global X coordinate	Wheels	X coordinate, wheel center R1	Wheel center R1
X_R2	m	Global X coordinate	Wheels	X coordinate, wheel center R2	Wheel center R2
X_Target	m	Global X coordinate	Driver model path	X coordinate of target path	Target
Yaw	deg	Angle	Chassis motion	Yaw, vehicle	Vehicle yaw
Yaw_L1	deg	Angle	Wheels	Yaw, wheel L1	Yaw, wheel L1
Yaw_L2	deg	Angle	Wheels	Yaw, wheel L2	Yaw, wheel L2
Yaw_R1	deg	Angle	Wheels	Yaw, wheel R1	Yaw, wheel R1
Yaw_R2	deg	Angle	Wheels	Yaw, wheel R2	Yaw, wheel R2
Yaw_Wind	deg	Angle	Aerodynamics	Global wind heading (yaw)	Wind heading
Ycg_SM	m	Global Y coordinate	Chassis motion	Y coordinate, CG, sprung mass	CG, sprung mass
Ycg_TM	m	Global Y coordinate	Chassis motion	Y coordinate, inst. CG, unit 1	Instant CG, vehicle
Yctc_L1i	m	Global Y coordinate	Tires	Y coordinate, tire CTC L1i	Center of tire contact L1i
Yctc_L1o	m	Global Y coordinate	Tires	Y coordinate, tire CTC L1o	Center of tire contact L1o
Yctc_L2i	m	Global Y coordinate	Tires	Y coordinate, tire CTC L2i	Center of tire contact L2i
Yctc_L2o	m	Global Y coordinate	Tires	Y coordinate, tire CTC L2o	Center of tire contact L2o
Yctc_R1i	m	Global Y coordinate	Tires	Y coordinate, tire CTC R1i	Center of tire contact R1i
Yctc_R1o	m	Global Y coordinate	Tires	Y coordinate, tire CTC R1o	Center of tire contact R1o
Yctc_R2i	m	Global Y coordinate	Tires	Y coordinate, tire CTC R2i	Center of tire contact R2i
Yctc_R2o	m	Global Y coordinate	Tires	Y coordinate, tire CTC R2o	Center of tire contact R2o
YlcgTM	mm	Local Y coordinate	Chassis motion	Local Y, inst. CG, unit 1	Instant CG, vehicle
Yo	m	Global Y coordinate	Chassis motion	Y coordinate, vehicle origin	Vehicle
Yrd_Air	m	Global Y coordinate	Aerodynamics	Y coord. of road aero ref. 1	Road reference frame 1
Y_A2	m	Global Y coordinate	Axles	Y coordinate, axle 2	Axle 2
Y_Design	m	Global Y coordinate	Driver model path	Y coordinate of reference path	Driver reference path
Y_L1	m	Global Y coordinate	Wheels	Y coordinate, wheel center L1	Wheel center L1
Y_L2	m	Global Y coordinate	Wheels	Y coordinate, wheel center L2	Wheel center L2
Y_R1	m	Global Y coordinate	Wheels	Y coordinate, wheel center R1	Wheel center R1
Y_R2	m	Global Y coordinate	Wheels	Y coordinate, wheel center R2	Wheel center R2
Y_Rack1	mm	Displacement	Steering	Steering rack disp., axle 1	Axle 1 steering
Y_Rack2	mm	Displacement	Steering	Steering rack disp., axle 2	Axle 2 steering
Y_Target	m	Global Y coordinate	Driver model path	Y coordinate of target path	Target
Zcg_SM	m	Global Z coordinate	Chassis motion	Z coordinate, CG, sprung mass	CG, sprung mass
Zcg_TM	m	Global Z coordinate	Chassis motion	Z coordinate, inst. CG, unit 1	Instant CG, vehicle
Zgnd_L1i	m	Global Z coordinate	Ground and road	Ground Z coord under tire L1i	Ground under tire L1i
Zgnd_L1o	m	Global Z coordinate	Ground and road	Ground Z coord under tire L1o	Ground under tire L1o
Zgnd_L2i	m	Global Z coordinate	Ground and road	Ground Z coord under tire L2i	Ground under tire L2i
Zgnd_L2o	m	Global Z coordinate	Ground and road	Ground Z coord under tire L2o	Ground under tire L2o
Zgnd_R1i	m	Global Z coordinate	Ground and road	Ground Z coord under tire R1i	Ground under tire R1i
Zgnd_R1o	m	Global Z coordinate	Ground and road	Ground Z coord under tire R1o	Ground under tire R1o
Zgnd_R2i	m	Global Z coordinate	Ground and road	Ground Z coord under tire R2i	Ground under tire R2i
Zgnd_R2o	m	Global Z coordinate	Ground and road	Ground Z coord under tire R2o	Ground under tire R2o
Zo	m	Global Z coordinate	Chassis motion	Z coordinate, vehicle origin	Vehicle
Zrd_Air	m	Global Z coordinate	Aerodynamics	Z coord. of road aero ref. 1	Road reference frame 1
Z_A2	m	Global Z coordinate	Axles	Z coordinate, axle 2	Axle 2
Z_Aero	m	Height above road	Aerodynamics	Height of aero ref pt above road	Height of aero ref pt above road
Z_L1	m	Global Z coordinate	Wheels	Z coordinate, wheel center L1	Wheel center L1
Z_L2	m	Global Z coordinate	Wheels	Z coordinate, wheel center L2	Wheel center L2
Z_R1	m	Global Z coordinate	Wheels	Z coordinate, wheel center R1	Wheel center R1
Z_R2	m	Global Z coordinate	Wheels	Z coordinate, wheel center R2	Wheel center R2
Z_Shadow	m	Global Z coordinate	Ground and road	Z coordinate, vehicle shadow 1	Road reference frame 1
