0,-1,0,0,0,0
400,0,0,0,0,0
517,0,0,0,0,0
633,0.1,0,0,0,0
750,0.1,0,0,0,0
1107,0.12,0,0,0,0
1463,0.66,0,0,0,0
1820,1.14,0,0,0,0
2177,1.57,0,0,0,0
2533,2.03,0,0,0,0
2890,2.39,0,0,0,0
3247,2.84,0,0,0,0
3603,3.1,0,0,0,0
3960,3.46,0,0,0,0
4317,3.72,0,0,0,0
4673,3.96,0,0,0,0
5030,4.23,0,0,0,0
5387,4.49,0,0,0,0
5743,4.64,0,0,0,0
6100,4.8,0,0,0,0
6500,5,0,0,0,0
6700,5,0,0,0,0
6900,5.1,0,0,0,0
7100,5.1,0,0,0,0
7300,5.1,0,0,0,0
7500,5.2,0,0,0,0
7700,5.2,0,0,0,0
7900,5.2,0,0,0,0
8100,5.2,0,0,0,0
8300,5.2,0,0,0,0
8500,0,0,0,0,0
8700,0,0,0,0,0
8900,0,0,0,0,0
9000,-1,0,0,0,0
9200,-5,0,0,0,0
9700,-9,0,0,0,0
