rpm,hp,torque
0,0,0
400,0,0
517,0,87.17
633,0,125.56
750,0,137.46
1107,0,173.84
1463,0,184.29
1820,0,194.74
2177,0,198
2533,0,199.65
2890,0,194.27
3247,0,186.21
3603,0,167.53
3960,0,145.29
4317,0,125.2
4673,0,104.22
5030,0,85.54
5387,0,69.6
5743,0,55.16
6100,0,41.98
6500,0,-66.83
6700,0,-67.65
