rpm,hp,torque
3900,1.9,3.4
3910,1.91,3.41
3920,1.92,3.42
3930,1.93,3.43
3940,1.94,3.44
3950,1.95,3.45
3960,1.96,3.46
3970,1.97,3.47
3980,1.98,3.48
3990,1.99,3.49
4000,2,3.5
4010,2.01,3.51
4020,2.02,3.52
4030,2.03,3.53
4040,2.04,3.54
4050,2.05,3.55
4060,2.06,3.56
4070,2.07,3.57
4080,2.08,3.58
4090,2.09,3.59
4100,2.1,3.6
4110,2.11,3.61
4120,2.12,3.62
4130,2.13,3.63
4140,2.14,3.64
4150,2.15,3.65
4160,2.16,3.66
4170,2.17,3.67
4180,2.18,3.68
4190,2.19,3.69
4200,2.2,3.7
4210,2.2,3.7
4220,2.2,3.7
4230,2.2,3.7
4240,2.2,3.7
4250,2.2,3.7
4260,2.2,3.7
4270,2.2,3.7
4280,2.2,3.7
4290,2.2,3.7
4300,2.2,3.7
4310,2.21,3.71
4320,2.22,3.72
4330,2.23,3.73
4340,2.24,3.74
4350,2.25,3.75
4360,2.26,3.76
4370,2.27,3.77
4380,2.28,3.78
4390,2.29,3.79
4400,2.3,3.8
4410,2.32,3.81
4420,2.34,3.82
4430,2.36,3.83
4440,2.38,3.84
4450,2.4,3.85
4460,2.42,3.86
4470,2.44,3.87
4480,2.46,3.88
4490,2.48,3.89
4500,2.5,3.9
4510,2.51,3.91
4520,2.52,3.92
4530,2.53,3.93
4540,2.54,3.94
4550,2.55,3.95
4560,2.56,3.96
4570,2.57,3.97
4580,2.58,3.98
4590,2.59,3.99
4600,2.6,4
4610,2.6,4
4620,2.6,4
4630,2.6,4
4640,2.6,4
4650,2.6,4
4660,2.6,4
4670,2.6,4
4680,2.6,4
4690,2.6,4
4700,2.6,4
4710,2.62,4.01
4720,2.64,4.02
4730,2.66,4.03
4740,2.68,4.04
4750,2.7,4.05
4760,2.72,4.06
4770,2.74,4.07
4780,2.76,4.08
4790,2.78,4.09
4800,2.8,4.1
4810,2.81,4.11
4820,2.82,4.12
4830,2.83,4.13
4840,2.84,4.14
4850,2.85,4.15
4860,2.86,4.16
4870,2.87,4.17
4880,2.88,4.18
4890,2.89,4.19
4900,2.9,4.2
4910,2.9,4.2
4920,2.9,4.2
4930,2.9,4.2
4940,2.9,4.2
4950,2.9,4.2
4960,2.9,4.2
4970,2.9,4.2
4980,2.9,4.2
4990,2.9,4.2
5000,2.9,4.2
5010,2.92,4.21
5020,2.94,4.22
5030,2.96,4.23
5040,2.98,4.24
5050,3,4.25
5060,3.02,4.26
5070,3.04,4.27
5080,3.06,4.28
5090,3.08,4.29
5100,3.1,4.3
5110,3.11,4.31
5120,3.12,4.32
5130,3.13,4.33
5140,3.14,4.34
5150,3.15,4.35
5160,3.16,4.36
5170,3.17,4.37
5180,3.18,4.38
5190,3.19,4.39
5200,3.2,4.4
5210,3.21,4.4
5220,3.22,4.4
5230,3.23,4.4
5240,3.24,4.4
5250,3.25,4.4
5260,3.26,4.4
5270,3.27,4.4
5280,3.28,4.4
5290,3.29,4.4
5300,3.3,4.4
5310,3.31,4.41
5320,3.32,4.42
5330,3.33,4.43
5340,3.34,4.44
5350,3.35,4.45
5360,3.36,4.46
5370,3.37,4.47
5380,3.38,4.48
5390,3.39,4.49
5400,3.4,4.5
5410,3.41,4.5
5420,3.42,4.5
5430,3.43,4.5
5440,3.44,4.5
5450,3.45,4.5
5460,3.46,4.5
5470,3.47,4.5
5480,3.48,4.5
5490,3.49,4.5
5500,3.5,4.5
5510,3.51,4.51
5520,3.52,4.52
5530,3.53,4.53
5540,3.54,4.54
5550,3.55,4.55
5560,3.56,4.56
