Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
        0.078, -0.00155678077135, 0.19430232048, 0.136379480362, -70.6232757568, -168.118606567, 4827.56103516, -2.70634222031, 5.88412761688
        0.079, -0.00162217125762, 0.194221392274, 0.136289104819, -72.6534042358, -168.89453125, 4827.50683594, -2.69829273224, 5.91643428802
         0.08, -0.00167845317628, 0.194222822785, 0.136203885078, -74.8604888916, -169.655334473, 4827.45410156, -2.6904976368,   5.948158741
        0.081, -0.00172478053719, 0.194224357605, 0.136119276285, -77.1974639893, -170.401138306, 4827.40332031, -2.68282699585, 5.97932052612
        0.082, -0.00176062795799, 0.194152757525, 0.136031463742, -79.6162414551, -171.130554199, 4827.35595703, -2.67518115044, 6.00987577438
        0.083, -0.0017857728526, 0.194154575467, 0.13594828546, -82.0690765381, -171.845489502, 4827.31103516, -2.66777062416, 6.03983354568
        0.084, -0.00180031685159, 0.194156602025, 0.135865673423, -84.509803772, -172.546035767, 4827.26953125, -2.66047954559, 6.06920957565
        0.085, -0.00180465064477, 0.194091841578, 0.135780155659, -86.8950653076, -173.232131958, 4827.23193359, -2.6532087326, 6.09801101685
        0.086, -0.00179941521492, 0.194094315171, 0.135698840022, -89.1854934692, -173.903152466, 4827.19677734, -2.64616560936, 6.12615442276
        0.087, -0.00178549753036, 0.194097056985, 0.135618135333, -91.3463745117, -174.560394287, 4827.16552734, -2.63923859596, 6.15370416641
        0.088, -0.00176398037001, 0.194036751986, 0.13553468883, -93.348487854, -175.203826904, 4827.13818359, -2.63233232498, 6.18067216873
        0.089, -0.00173608900513, 0.194040060043, 0.13545525074, -95.1687088013, -175.832901001, 4827.11376953, -2.62564253807, 6.20698404312
         0.09, -0.00170317490119, 0.194043666124, 0.135376408696, -96.7901535034, -176.448883057, 4827.09228516, -2.6190636158, 6.23270893097
        0.091, -0.00166665960569, 0.193986043334, 0.135294899344, -98.2024230957, -177.051757812, 4827.07470703, -2.61250257492, 6.25786304474
        0.092, -0.00162797933444, 0.19399023056, 0.135217294097, -99.4016265869, -177.641021729, 4827.05908203, -2.60614943504, 6.28238248825
        0.093, -0.00158856797498, 0.19399471581, 0.135140284896, -100.389968872, -178.217941284,   4827.046875, -2.59990143776, 6.30634021759
        0.094, -0.00154980609659, 0.193938821554, 0.13506065309, -101.175498962, -178.782546997, 4827.03710938, -2.59366679192, 6.32976007462
        0.095, -0.0015129725216, 0.193943843246, 0.134984865785, -101.771598816, -179.334350586, 4827.02929688, -2.58763241768, 6.35258483887
        0.096, -0.00147923838813, 0.193949133158, 0.134909659624, -102.196228027, -179.874664307,  4827.0234375, -2.58169674873, 6.37489175797
        0.097, -0.00144962838385, 0.193894833326, 0.134831890464, -102.471229553, -180.403488159, 4827.02001953, -2.57576918602, 6.39671039581
        0.098, -0.00142498710193, 0.193900600076, 0.134757906199, -102.621620178, -180.920410156, 4827.01806641, -2.57003426552, 6.41798877716
        0.099, -0.00140598928556, 0.193906575441, 0.13468451798, -102.674545288, -181.426696777, 4827.01806641, -2.56439161301, 6.43880653381
          0.1, -0.00139311759267, 0.193854495883, 0.134608626366, -102.658531189, -181.922393799, 4827.02001953, -2.55875301361, 6.45919513702
        0.101, -0.00138664746191, 0.193860858679, 0.13453643024, -102.602645874, -182.407073975, 4827.02294922, -2.55329799652, 6.47910642624
        0.102, -0.00138667330611, 0.193867385387, 0.13446483016, -102.53553009, -182.882003784, 4827.02734375, -2.5479285717, 6.49861907959
        0.103, -0.00139310001396, 0.19387409091, 0.134393796325, -102.484741211, -183.347427368, 4827.03320312, -2.54264307022, 6.51775312424
        0.104, -0.00140566425398, 0.193807646632, 0.13431943953, -102.475967407, -183.801986694, 4827.04199219, -2.53734064102, 6.53648853302
        0.105, -0.00142393016722, 0.193814650178, 0.134249657393, -102.532485962, -184.247756958, 4827.05175781, -2.53223013878, 6.55486297607
        0.106, -0.00144734000787, 0.193821772933, 0.134180366993, -102.674530029, -184.684814453, 4827.06347656, -2.52719640732,  6.5729136467
        0.107, -0.00147521705367,  0.1938290447, 0.134111657739, -102.918945312, -185.113388062, 4827.07714844, -2.52223920822, 6.59065580368
        0.108, -0.00150679913349, 0.193770617247, 0.134039998055, -103.278915405, -185.53225708, 4827.09423828, -2.51726818085, 6.60806751251
        0.109, -0.00154124642722, 0.193778172135, 0.133972480893, -103.76374054, -185.943222046, 4827.11328125, -2.51247119904, 6.62517881393
         0.11, -0.00157769571524, 0.193785846233, 0.133905440569, -104.378768921, -186.346359253, 4827.13476562, -2.50774478912, 6.64201784134
        0.111, -0.00161526794545, 0.193793669343, 0.133838966489, -105.125473022, -186.741851807, 4827.15966797, -2.50308942795, 6.65859270096
        0.112, -0.00165309768636, 0.193801641464, 0.133773028851, -106.001609802, -187.129837036, 4827.18798828, -2.49850344658, 6.67490911484
        0.113, -0.00169036176521, 0.193739920855, 0.133703917265, -107.001472473, -187.508895874, 4827.22070312, -2.49389195442, 6.69093322754
        0.114, -0.00172628019936, 0.193748220801, 0.133639156818, -108.116218567, -187.880981445, 4827.25634766, -2.48945498466, 6.70668983459
        0.115, -0.0017601645086, 0.193756699562, 0.133574873209, -109.334243774, -188.246017456, 4827.29589844, -2.48508310318,    6.72219944
        0.116, -0.00179141352419, 0.193765372038, 0.133511126041, -110.641708374, -188.604125977, 4827.34033203, -2.48077726364, 6.73746156693
        0.117, -0.00181952980347, 0.19377425313, 0.133447915316, -112.022994995, -188.955444336, 4827.38867188, -2.47653651237, 6.75247716904
        0.118, -0.00184412836097, 0.193783327937, 0.133385241032, -113.461242676, -189.300079346, 4827.44238281, -2.47236013412, 6.76724386215
        0.119, -0.00186494679656, 0.193725422025, 0.133319541812, -114.938873291, -189.636550903, 4827.50097656, -2.46815752983, 6.78172206879
         0.12, -0.0018818260869, 0.193734973669, 0.133258029819, -116.438163757, -189.966751099, 4827.56396484, -2.46412062645, 6.79593372345
        0.121, -0.00189473910723, 0.193744748831, 0.133197024465, -117.941650391, -190.290588379, 4827.63183594, -2.46014499664, 6.80989360809
        0.122, -0.00190376501996, 0.193754792213, 0.133136555552, -119.432662964, -190.608139038, 4827.70507812, -2.45623135567, 6.82359981537
        0.123, -0.00190908671357, 0.193765088916, 0.133076652884, -120.895736694, -190.919509888, 4827.78320312, -2.45237922668,  6.8370513916
        0.124, -0.00191097997595, 0.193775638938, 0.133017286658, -122.317001343, -191.22479248, 4827.86621094, -2.44858789444, 6.85024785995
        0.125, -0.00190980138723, 0.193786457181, 0.132958471775, -123.684417725, -191.524093628, 4827.95458984, -2.4448568821, 6.86318922043
        0.126, -0.00190597842447, 0.193733096123, 0.13289681077, -124.988090515, -191.816009521, 4828.04833984, -2.44109892845,  6.8758392334
        0.127, -0.00189997570124, 0.193744465709, 0.132839232683, -126.22039032, -192.102355957, 4828.14648438, -2.43749856949, 6.88822221756
        0.128, -0.00189230730757, 0.193756088614, 0.132782191038, -127.376029968, -192.383056641, 4828.24951172, -2.43395519257, 6.90035676956
        0.129, -0.00188350188546, 0.193767979741, 0.132725715637, -128.452102661, -192.658203125, 4828.35742188, -2.43046951294, 6.91224622726
         0.13, -0.00187409145292, 0.193780124187, 0.132669836283, -129.448074341, -192.927932739, 4828.46972656, -2.42704081535,  6.9238948822
        0.131, -0.00186459661927, 0.193792536855, 0.132614552975, -130.365615845, -193.192352295, 4828.58691406, -2.42366838455, 6.93530750275
        0.132, -0.00185551273171, 0.193805187941, 0.132559850812, -131.208480835, -193.451583862, 4828.70800781, -2.42035126686, 6.94648981094
        0.133, -0.00184730114415, 0.193759188056, 0.132502645254, -131.982269287, -193.705505371, 4828.83398438, -2.41700196266, 6.95746040344
        0.134, -0.00184036209248, 0.193772315979, 0.13244920969, -132.694198608, -193.953521729, 4828.96386719, -2.41380310059, 6.96815538406
        0.135, -0.00183505052701, 0.193785667419, 0.132396385074, -133.352783203, -194.196762085, 4829.09814453, -2.41065788269, 6.97864246368
        0.136, -0.00183165259659, 0.193799242377, 0.132344201207, -133.967529297, -194.435317993, 4829.23583984, -2.40756487846,  6.9889292717
        0.137, -0.00183038564865, 0.19381301105, 0.132292643189, -134.548629761, -194.669326782, 4829.37792969, -2.40452337265, 6.99902486801
        0.138, -0.00183139520232, 0.193826988339, 0.13224171102, -135.106658936, -194.898910522,  4829.5234375, -2.40153264999, 7.00893688202
        0.139, -0.00183475506492, 0.193841144443, 0.132191419601, -135.652236938, -195.124206543, 4829.67285156, -2.39859199524, 7.01867294312
         0.14, -0.00184046814684, 0.19385547936, 0.132141754031, -136.195724487, -195.345306396, 4829.82617188, -2.39570069313, 7.02824211121
        0.141, -0.00184847565833, 0.193807661533, 0.132089450955, -136.746948242, -195.560897827, 4829.98388672, -2.39277434349, 7.03761434555
        0.142, -0.0018586430233, 0.193822339177, 0.132041200995, -137.314971924, -195.772750854, 4830.14453125,  -2.389991045, 7.04682016373
        0.143, -0.00187079445459, 0.193837180734, 0.131993547082, -137.907852173, -195.980789185, 4830.30908203, -2.38725352287, 7.05588197708
        0.144, -0.0018847027095, 0.193852171302, 0.131946563721, -138.532440186, -196.18510437, 4830.47753906, -2.38456273079, 7.06480503082
        0.145, -0.00190010201186, 0.193867310882, 0.131900236011, -139.194351196, -196.385803223, 4830.64941406, -2.38191795349,   7.073595047
        0.146, -0.00191669759806, 0.193882599473, 0.131854578853, -139.897766113, -196.582977295, 4830.82519531, -2.37931847572, 7.08225774765
        0.147, -0.00193417549599, 0.193898037076, 0.131809592247, -140.645431519, -196.776702881, 4831.00488281, -2.37676382065, 7.09079647064
        0.148, -0.00195221218746, 0.193913593888, 0.131765276194, -141.43862915, -196.967086792, 4831.18798828, -2.37425374985, 7.09921503067
        0.149, -0.0019704841543, 0.193929299712, 0.131721630692, -142.277282715, -197.154174805, 4831.37548828, -2.37178778648, 7.10751724243
         0.15, -0.00198867637664, 0.193945139647, 0.131678670645, -143.159927368, -197.338043213, 4831.56689453, -2.36936545372, 7.11570453644
        0.151, -0.00200649653561, 0.193899452686, 0.131633147597, -144.083908081, -197.517318726, 4831.76269531, -2.36690402031, 7.12374210358
        0.152, -0.00202366244048, 0.193915575743, 0.131591662765, -145.04548645, -197.693740845, 4831.96191406, -2.36457967758, 7.13165569305
        0.153, -0.00203993683681, 0.193931818008, 0.131550833583, -146.03994751, -197.867172241, 4832.16503906, -2.36229658127, 7.13945960999
        0.154, -0.00205511413515, 0.193948209286, 0.131510704756, -147.061813354, -198.037643433, 4832.37255859, -2.36005592346, 7.14715433121
        0.155, -0.00206902856007, 0.193964719772, 0.131471276283, -148.105117798, -198.205215454, 4832.58349609, -2.35785770416, 7.15473985672
        0.156, -0.00208155694418, 0.193981364369, 0.131432548165, -149.163421631, -198.369949341, 4832.79882812, -2.3557009697, 7.16221618652
        0.157, -0.00209261965938, 0.193998157978, 0.131394535303, -150.230209351, -198.531890869, 4833.01855469, -2.3535861969, 7.16958332062
        0.158, -0.00210218108259, 0.194015070796, 0.131357237697, -151.29888916, -198.691070557, 4833.24169922, -2.35151290894, 7.17684030533
        0.159, -0.00211024773307, 0.194032117724, 0.131320655346, -152.363143921, -198.84753418, 4833.46923828, -2.34948086739, 7.18398809433
         0.16, -0.00211686594412, 0.194049298763, 0.131284803152, -153.416946411, -199.001327515, 4833.70068359, -2.34748983383, 7.19102525711
        0.161, -0.00212211883627, 0.194066613913, 0.131249681115, -154.454833984, -199.152511597, 4833.93554688, -2.34553980827, 7.19795274734
        0.162, -0.00212612235919, 0.194084048271, 0.131215289235, -155.471939087, -199.301101685, 4834.17480469, -2.34363055229,  7.2047700882
        0.163, -0.00212901923805, 0.19410161674, 0.131181642413, -156.464126587, -199.447174072, 4834.41748047, -2.34176182747, 7.21147823334
        0.164, -0.0021309745498, 0.194119304419, 0.131148740649, -157.428085327, -199.590744019, 4834.66357422, -2.33993339539, 7.21807813644
        0.165, -0.00213217386045, 0.194079607725, 0.131113544106, -158.361343384, -199.731643677,  4834.9140625, -2.33806014061, 7.22458076477
        0.166, -0.00213280064054, 0.194097518921, 0.131082192063, -159.262359619, -199.869216919, 4835.16748047, -2.33632087708, 7.23091936111
        0.167, -0.00213305512443, 0.194115549326, 0.131051599979, -160.130386353, -200.004470825, 4835.42382812, -2.33462142944, 7.23715400696
        0.168, -0.00213313242421, 0.194133669138, 0.131021782756, -160.965560913, -200.137451172, 4835.68408203, -2.33296108246, 7.24328708649
        0.169, -0.00213322066702, 0.194151893258, 0.130992725492, -161.768829346, -200.268218994, 4835.94726562, -2.33133983612, 7.24932050705
         0.17, -0.00213349657133, 0.194170191884, 0.130964457989,  -162.5418396, -200.39680481, 4836.21337891, -2.32975721359, 7.25525712967
        0.171, -0.00213412125595, 0.194188579917, 0.130936950445, -163.286911011, -200.523284912, 4836.48242188, -2.32821249962, 7.26109886169
        0.172, -0.00213523558341, 0.194207042456, 0.130910232663, -164.006896973, -200.647689819, 4836.75439453, -2.32670617104, 7.26684904099
        0.173, 0.00948128197342, 0.215425744653, 0.0917762741446,  26.333694458, -248.724029541, 10504.6220703, -1.89257347584,  15.117266655
        0.174, 0.00583680346608, 0.279007524252, 0.0911471024156, 70.5087509155, -249.235855103, 10480.4003906, -1.84155392647, 15.1507587433
        0.175, 0.00216009817086, 0.337046772242, 0.0948460400105, 97.3779983521, -251.532531738, 10436.2880859, -2.02659869194, 15.2338504791
        0.176, -0.0015117576113, 0.392238616943, 0.100961141288,  104.53087616, -255.470077515, 10367.5703125, -2.32777142525, 15.3915224075
        0.177, -0.00504130171612, 0.443841964006, 0.10935831815,   92.99659729, -260.905639648, 10275.4804688, -2.73472309113, 15.6170005798
        0.178, -0.00830685254186, 0.491300046444, 0.119934618473,  64.477180481, -267.690063477, 10161.3349609, -3.23787117004, 15.9011631012
        0.179, -0.011206779629, 0.534285545349, 0.132580950856, 21.2521343231, -275.663726807,   10026.53125, -3.82642054558, 16.2331809998
         0.18, -0.0136585673317,  0.5725877285, 0.147181630135, -33.9481735229, -284.659606934, 9872.54589844, -4.48856163025, 16.6011829376
        0.181, -0.0155999260023, 0.606090188026, 0.163614436984, -98.0825042725, -294.507141113, 9700.92578125, -5.21169805527,  16.993024826
        0.182, -0.0169895887375, 0.634762763977, 0.181751206517, -167.945877075, -305.035980225, 9513.26171875, -5.98270273209, 17.3970870972
        0.183, -0.0178072918206, 0.658652603626, 0.20145817101, -240.313720703, -316.079467773, 9311.18066406, -6.78815889359,  17.802947998
        0.184, -0.0180530045182, 0.677874386311, 0.22259619832, -312.076721191, -327.477722168, 9096.32324219, -7.61460113525, 18.2018604279
        0.185, -0.017745481804, 0.692600250244, 0.245021209121, -380.358947754, -339.08013916, 8870.33691406, -8.44875431061, 18.5869998932
        0.186, -0.0169202443212, 0.703049480915, 0.268584579229, -442.613555908, -350.747528076, 8634.86328125, -9.27776813507, 18.9534435272
        0.187, -0.015627168119, 0.709479093552, 0.293133735657, -497.445007324, -362.280883789, 8391.52734375, -10.0903453827, 19.2809200287
        0.188, -0.0138538079336, 0.712257146835, 0.318571060896, -563.133056641, -371.431945801, 8141.94873047, -10.9037103653, 19.0909099579
        0.189, -0.0116157829762, 0.711672484875, 0.344738930464, -616.002868652, -379.968994141, 7887.73535156, -11.683131218, 18.8491039276
         0.19, -0.0115211689845, 0.653628647327, 0.406058847904, -689.71472168, -430.557647705, 10241.1132812, -18.1174602509, 21.8378620148
        0.191, -0.00885469280183, 0.666648387909, 0.435794383287, -706.091125488, -440.263183594, 9949.79003906, -19.2061309814, 21.9844608307
        0.192, -0.00616344530135, 0.674070596695, 0.466918587685, -707.420227051, -449.881378174, 9646.24609375, -20.2554969788, 22.1163024902
        0.193, -0.00352398795076, 0.67619407177, 0.499642044306, -694.746032715, -459.414031982, 9330.62304688, -21.2636623383, 22.2289733887
        0.194, -0.00101352890488, 0.673395633698, 0.533738732338, -669.388793945, -468.725952148, 9005.04101562, -22.2100887299, 22.3147106171
        0.195, 0.00129977916367, 0.666112661362, 0.569000542164, -632.964660645,  -477.7059021, 8671.60351562, -23.0773162842, 22.3660144806
        0.196, 0.00335826119408, 0.65480864048, 0.605212032795, -593.266052246, -485.068359375, 8332.38964844, -23.8646717072, 22.2180709839
        0.197, 0.00524536101148, 0.640233278275, 0.642415165901, -569.250061035, -486.819366455, 7989.47314453, -24.6164474487,  21.376285553
        0.198, 0.00696664024144, 0.622738778591, 0.680254220963, -537.157897949, -487.496307373, 7644.87109375, -25.2547950745,  20.478509903
        0.199, 0.00847877375782, 0.602661907673, 0.718387722969, -498.278869629, -487.07800293, 7300.52539062, -25.765460968, 19.5317420959
