time,latitude,longitude,throttle,gear,speed_kmh,rpm
0.1,33.622653117,72.955963858,0.0,1,0.0,1500
0.2,33.622653117,72.955963858,0.0,1,0.0,1500
0.3,33.622653117,72.955963858,0.0,1,0.0,1500
0.4,33.622653117,72.955963858,0.0,1,0.0,1500
0.5,33.622653117,72.955963858,0.0,1,0.0,1500
0.6,33.622653117,72.955963858,0.0,1,0.0,1500
0.7,33.622653117,72.955963858,0.0,1,0.0,1500
0.8,33.622653117,72.955963858,0.0,1,0.0,1500
0.9,33.622653117,72.955963858,0.0,1,0.0,1500
1.0,33.622653117,72.955963858,0.0,1,0.0,1500
1.1,33.622653117,72.955963858,0.0,1,0.0,1500
1.2,33.622653117,72.955963858,0.0,1,0.0,1500
1.3,33.622653117,72.955963858,0.0,1,0.0,1500
1.4,33.622653117,72.955963858,0.0,1,0.0,1500
1.5,33.622653117,72.955963858,0.0,1,0.0,1500
1.6,33.622653117,72.955963858,0.0,1,0.0,1500
1.7,33.622653117,72.955963858,0.0,1,0.0,1500
1.8,33.622653117,72.955963858,0.0,1,0.0,1500
1.9,33.622653117,72.955963858,0.0,1,0.0,1500
2.0,33.622653117,72.955963858,0.0,1,0.0,1500
2.1,33.622653117,72.955963858,0.0,1,0.0,1500
2.2,33.622653117,72.955963858,0.0,1,0.0,1500
2.3,33.622653117,72.955963858,0.0,1,0.0,1500
2.4,33.622653117,72.955963858,0.0,1,0.0,1500
2.5,33.622653117,72.955963858,0.0,1,0.0,1500
2.6,33.622653117,72.955963858,0.0,1,0.0,1500
2.7,33.622653117,72.955963858,0.0,1,0.0,1500
2.8,33.622653117,72.955963858,0.0,1,0.0,1500
2.9,33.622653117,72.955963858,0.0,1,0.0,1500
3.0,33.622653117,72.955963858,0.0,1,0.0,1500
3.1,33.622653117,72.955963858,0.0,1,0.0,1500
3.2,33.622653117,72.955963858,0.0,1,0.0,1500
3.3,33.622653117,72.955963858,0.0,1,0.0,1500
3.4,33.622653117,72.955963858,0.0,1,0.0,1500
3.5,33.622653117,72.955963858,0.0,1,0.0,1500
3.6,33.622653117,72.955963858,0.0,1,0.0,1500
3.7,33.622653117,72.955963858,0.0,1,0.0,1500
3.8,33.622653117,72.955963858,0.0,1,0.0,1500
3.9,33.622653117,72.955963858,0.0,1,0.0,1500
4.0,33.622653117,72.955963858,0.0,1,0.0,1500
4.1,33.622653117,72.955963858,0.0,1,0.0,1500
4.2,33.622653117,72.955963858,0.0,1,0.0,1500
4.3,33.622653117,72.955963858,0.0,1,0.0,1500
4.4,33.622653117,72.955963858,0.0,1,0.0,1500
4.5,33.622653117,72.955963858,0.0,1,0.0,1500
4.6,33.622653117,72.955963858,0.0,1,0.0,1500
4.7,33.622653117,72.955963858,0.0,1,0.0,1500
4.8,33.622653117,72.955963858,0.0,1,0.0,1500
4.9,33.622653117,72.955963858,0.0,1,0.0,1500
5.0,33.622653117,72.955963858,0.0,1,0.0,1500
5.1,33.622653117,72.955963858,0.0,1,0.0,1500
5.2,33.622653117,72.955963858,0.0,1,0.0,1500
5.3,33.622653117,72.955963858,0.0,1,0.0,1500
5.4,33.622653117,72.955963858,0.0,1,0.0,1500
5.5,33.622653117,72.955963858,0.0,1,0.0,1500
5.6,33.622653117,72.955963858,0.0,1,0.0,1500
5.7,33.622653117,72.955963858,0.0,1,0.0,1500
5.8,33.622653117,72.955963858,0.0,1,0.0,1500
5.9,33.622653117,72.955963858,0.0,1,0.0,1500
6.0,33.622653117,72.955963858,0.0,1,0.0,1500
6.1,33.622653117,72.955963858,0.0,1,0.0,1500
6.2,33.622653117,72.955963858,0.0,1,0.0,1500
6.3,33.622653117,72.955963858,0.0,1,0.0,1500
6.4,33.622653117,72.955963858,0.0,1,0.0,1500
6.5,33.622653117,72.955963858,0.0,1,0.0,1500
6.6,33.622653117,72.955963858,0.0,1,0.0,1500
6.7,33.622653117,72.955963858,0.0,1,0.0,1500
6.8,33.622653117,72.955963858,0.0,1,0.0,1500
6.9,33.622653117,72.955963858,0.0,1,0.0,1500
7.0,33.622653117,72.955963858,0.0,1,0.0,1500
7.1,33.622653117,72.955963858,0.0,1,0.0,1500
7.2,33.622653117,72.955963858,0.0,1,0.0,1500
7.3,33.622653117,72.955963858,0.0,1,0.0,1500
7.4,33.622653117,72.955963858,0.0,1,0.0,1500
7.5,33.622653117,72.955963858,0.0,1,0.0,1500
7.6,33.622653117,72.955963858,0.0,1,0.0,1500
7.7,33.622653117,72.955963858,0.0,1,0.0,1500
7.8,33.622653117,72.955963858,0.0,1,0.0,1500
7.9,33.622653117,72.955963858,0.0,1,0.0,1500
8.0,33.622653117,72.955963858,0.0,1,0.0,1500
8.1,33.622653117,72.955963858,0.0,1,0.0,1500
8.2,33.622653117,72.955963858,0.0,1,0.0,1500
8.3,33.622653117,72.955963858,0.0,1,0.0,1500
8.4,33.622653117,72.955963858,0.0,1,0.0,1500
8.5,33.622653117,72.955963858,0.0,1,0.0,1500
8.6,33.622653117,72.955963858,0.0,1,0.0,1500
8.7,33.622653117,72.955963858,0.0,1,0.0,1500
8.8,33.622653117,72.955963858,0.0,1,0.0,1500
8.9,33.622653117,72.955963858,0.0,1,0.0,1500
9.0,33.622653117,72.955963858,0.0,1,0.0,1500
9.1,33.622653117,72.955963858,0.0,1,0.0,1500
9.2,33.622653117,72.955963858,0.0,1,0.0,1500
9.3,33.622653117,72.955963858,0.0,1,0.0,1500
9.4,33.622653117,72.955963858,0.0,1,0.0,1500
9.5,33.622653117,72.955963858,0.0,1,0.0,1500
9.6,33.622653117,72.955963858,0.0,1,0.0,1500
9.7,33.622653117,72.955963858,0.0,1,0.0,1500
9.8,33.622653117,72.955963858,0.0,1,0.0,1500
9.9,33.622653117,72.955963858,0.0,1,0.0,1500
