3568326.98,-2892355.71
3568326.682,-2892354.806
3568326.363,-2892353.916
3568326.027,-2892353.04
3568325.675,-2892352.178
3568325.312,-2892351.324
3568324.942,-2892350.477
3568324.572,-2892349.632
3568324.199,-2892348.788
3568323.821,-2892347.95
3568323.435,-2892347.118
3568323.05,-2892346.286
3568322.663,-2892345.457
3568322.283,-2892344.619
3568321.903,-2892343.782
3568321.523,-2892342.944
3568321.151,-2892342.101
3568320.779,-2892341.256
3568320.41,-2892340.408
3568320.043,-2892339.559
3568319.678,-2892338.708
3568319.314,-2892337.857
3568318.951,-2892337.004
3568318.589,-2892336.15
3568318.227,-2892335.296
3568317.864,-2892334.443
3568317.502,-2892333.589
3568317.144,-2892332.732
3568316.796,-2892331.865
3568316.459,-2892330.99
3568316.11,-2892330.125
3568315.753,-2892329.268
3568315.407,-2892328.399
3568315.067,-2892327.528
3568314.716,-2892326.664
3568314.362,-2892325.803
3568314.014,-2892324.936
3568313.669,-2892324.067
3568313.328,-2892323.195
3568312.989,-2892322.321
3568312.65,-2892321.449
3568312.31,-2892320.576
3568311.973,-2892319.701
3568311.638,-2892318.824
3568311.303,-2892317.947
3568310.969,-2892317.07
3568310.634,-2892316.192
3568310.294,-2892315.32
3568309.955,-2892314.447
3568309.616,-2892313.573
3568309.278,-2892312.698
3568308.939,-2892311.825
3568308.599,-2892310.951
3568308.26,-2892310.078
3568307.928,-2892309.198
3568307.596,-2892308.319
3568307.265,-2892307.439
3568306.932,-2892306.56
3568306.6,-2892305.681
3568306.264,-2892304.805
3568305.928,-2892303.929
3568305.593,-2892303.053
3568305.259,-2892302.174
3568304.926,-2892301.296
3568304.594,-2892300.416
3568304.263,-2892299.538
3568303.928,-2892298.659
3568303.593,-2892297.783
3568303.256,-2892296.907
3568302.925,-2892296.027
3568302.594,-2892295.148
3568302.263,-2892294.267
3568301.929,-2892293.39
3568301.593,-2892292.513
3568301.259,-2892291.636
3568300.925,-2892290.759
3568300.59,-2892289.881
3568300.257,-2892289.003
3568299.924,-2892288.125
3568299.591,-2892287.245
3568299.261,-2892286.364
3568298.931,-2892285.484
3568298.601,-2892284.603
3568298.273,-2892283.72
3568297.944,-2892282.838
3568297.616,-2892281.957
3568297.289,-2892281.073
3568296.962,-2892280.19
3568296.635,-2892279.306
3568296.31,-2892278.422
3568295.985,-2892277.537
3568295.658,-2892276.654
3568295.328,-2892275.772
3568294.998,-2892274.891
3568294.667,-2892274.012
3568294.334,-2892273.133
3568294,-2892272.255
3568293.667,-2892271.376
3568293.335,-2892270.498
3568293.002,-2892269.618
3568292.67,-2892268.739
3568292.339,-2892267.859
3568292.009,-2892266.979
3568291.681,-2892266.096
3568291.358,-2892265.21
3568291.035,-2892264.323
3568290.711,-2892263.437
3568290.38,-2892262.558
3568290.05,-2892261.677
3568289.719,-2892260.796
3568289.389,-2892259.916
3568289.058,-2892259.035
3568288.728,-2892258.154
3568288.413,-2892257.262
3568288.1,-2892256.367
3568287.788,-2892255.473
3568287.477,-2892254.578
3568287.166,-2892253.682
3568286.855,-2892252.787
3568286.535,-2892251.898
3568286.199,-2892251.022
3568285.862,-2892250.147
3568285.525,-2892249.272
3568285.185,-2892248.399
3568284.845,-2892247.526
3568284.505,-2892246.653
3568284.171,-2892245.776
