25.48842018,51.45017025,11.7
25.48842831,51.45016594,11.7
25.48843631,51.45016133,11.7
25.48844419,51.45015648,11.7
25.48845194,51.45015139,11.7
25.48845962,51.45014615,11.7
25.48846724,51.45014081,11.7
25.48847484,51.45013546,11.8
25.48848243,51.45013007,11.8
25.48848997,51.45012461,11.8
25.48849745,51.45011904,11.8
25.48850493,51.45011347,11.8
25.48851239,51.45010788,11.8
25.48851992,51.45010239,11.8
25.48852745,51.4500969,11.8
25.48853499,51.45009142,11.9
25.48854257,51.45008604,11.9
25.48855017,51.45008067,11.9
25.48855779,51.45007533,11.9
25.48856543,51.45007003,11.9
25.48857308,51.45006476,11.9
25.48858074,51.4500595,11.9
25.48858841,51.45005426,11.9
25.48859609,51.45004903,11.9
25.48860377,51.4500438,11.9
25.48861144,51.45003856,11.9
25.48861912,51.45003332,11.9
25.48862683,51.45002815,11.8
25.48863462,51.45002312,11.8
25.48864249,51.45001826,11.8
25.48865027,51.45001322,11.8
25.48865798,51.45000805,11.8
25.48866579,51.45000306,11.8
25.48867363,51.44999814,11.8
25.4886814,51.44999307,11.8
25.48868914,51.44998796,11.8
25.48869694,51.44998294,11.8
25.48870475,51.44997795,11.8
25.48871259,51.44997303,11.8
25.48872045,51.44996813,11.8
25.4887283,51.44996323,11.8
25.48873615,51.44995832,11.8
25.48874402,51.44995345,11.8
25.4887519,51.44994861,11.8
25.48875979,51.44994377,11.8
25.48876768,51.44993894,11.8
25.48877557,51.4499341,11.7
25.48878342,51.44992919,11.7
25.48879127,51.44992429,11.7
25.48879913,51.4499194,11.7
25.488807,51.44991452,11.7
25.48881485,51.44990962,11.7
25.48882271,51.44990471,11.7
25.48883056,51.44989981,11.6
25.48883847,51.44989501,11.6
25.48884638,51.44989022,11.6
25.48885429,51.44988543,11.6
25.4888622,51.44988063,11.6
25.4888701,51.44987583,11.5
25.48887798,51.44987097,11.5
25.48888586,51.44986612,11.5
25.48889374,51.44986128,11.5
25.48890164,51.44985646,11.4
25.48890954,51.44985164,11.4
25.48891745,51.44984685,11.3
25.48892535,51.44984206,11.3
25.48893325,51.44983723,11.3
25.48894113,51.44983238,11.2
25.48894901,51.44982752,11.2
25.48895692,51.44982273,11.1
25.48896483,51.44981796,11.1
25.48897275,51.44981317,11.1
25.48898064,51.44980834,11
25.48898852,51.4498035,11
25.48899641,51.44979867,11
25.4890043,51.44979384,10.9
25.48901219,51.449789,10.9
25.48902009,51.44978419,10.8
25.48902799,51.44977938,10.8
25.4890359,51.44977457,10.8
25.48904382,51.4497698,10.7
25.48905174,51.44976504,10.7
25.48905966,51.44976027,10.6
25.4890676,51.44975553,10.6
25.48907553,51.44975078,10.6
25.48908346,51.44974604,10.5
25.48909141,51.44974131,10.5
25.48909935,51.44973659,10.4
25.4891073,51.44973187,10.4
25.48911525,51.44972717,10.3
25.48912321,51.44972248,10.3
25.48913115,51.44971775,10.3
25.48913908,51.44971299,10.2
25.489147,51.44970822,10.1
25.48915491,51.44970343,10.1
25.48916281,51.44969862,10
25.48917071,51.4496938,10
25.48917861,51.44968899,10
25.48918651,51.44968419,9.9
25.48919442,51.44967938,9.9
25.48920233,51.44967459,9.9
25.48921024,51.44966981,9.9
25.48921816,51.44966504,9.9
25.4892261,51.4496603,9.8
25.48923407,51.44965563,9.8
25.48924204,51.44965097,9.8
25.48925001,51.44964628,9.8
25.48925792,51.44964151,9.8
25.48926584,51.44963673,9.8
25.48927376,51.44963195,9.7
25.48928168,51.44962718,9.7
25.4892896,51.44962241,9.7
25.48929752,51.44961764,9.7
25.48930554,51.44961308,9.7
25.48931359,51.44960857,9.7
25.48932163,51.44960406,9.7
25.48932968,51.44959956,9.7
25.48933774,51.44959507,9.7
25.48934579,51.44959058,9.7
25.48935378,51.44958596,9.7
25.48936166,51.4495811,9.7
25.48936953,51.44957623,9.7
25.4893774,51.44957136,9.7
25.48938525,51.44956645,9.7
25.4893931,51.44956154,9.7
25.48940095,51.44955663,9.7
25.48940884,51.4495518,9.7
25.48941674,51.44954699,9.7
25.48942465,51.44954219,9.7
25.48943255,51.44953739,9.7
25.48944047,51.44953261,9.7
25.48944838,51.44952782,9.7
25.4894563,51.44952304,9.7
25.48946419,51.44951821,9.8
25.48947208,51.44951338,9.8
25.48947997,51.44950854,9.8
25.48948784,51.44950369,9.8
25.48949571,51.44949882,9.8
25.48950358,51.44949394,9.9
